:Data_list: wingkp_list.txt
:Created: 2016 Jan 04 0601 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
#
# Units: Predicted Index 0-9 in Kp units
#
# Solar Wind Source: ACE Satellite.  Wing Kp data provided by USAF AFWA.
# The value -1 in the report indicates missing data.
#
#                      USAF 15-minute Wing Kp Geomagnetic Activity Index
#
#                        1-hour         1-hour        4-hour         4-hour     
# UT Date   Time      Predicted Time  Predicted    Predicted Time  Predicted   USAF Est.
# YR MO DA  HHMM      YR MO DA  HHMM    Index      YR MO DA  HHMM    Index        Kp    
#---------------------------------------------------------------------------------------
2015 12 28  2130    2015 12 28  2230     0.33    2015 12 29  0130     0.00       0.67
2015 12 28  2145    2015 12 28  2245     0.33    2015 12 29  0145     0.00       0.67
2015 12 28  2200    2015 12 28  2259     0.67    2015 12 29  0159     0.00       0.67
2015 12 28  2215    2015 12 28  2315     0.67    2015 12 29  0215     0.33       0.67
2015 12 28  2230    2015 12 28  2330     0.67    2015 12 29  0230     0.33       0.67
2015 12 28  2245    2015 12 28  2344     0.67    2015 12 29  0244     0.67       0.67
2015 12 28  2300    2015 12 29  0000     1.00    2015 12 29  0300     0.67       0.67
2015 12 28  2315    2015 12 29  0015     1.00    2015 12 29  0315     0.67       0.67
2015 12 28  2330    2015 12 29  0029     1.00    2015 12 29  0329     0.67       0.67
2015 12 28  2345    2015 12 29  0045     1.33    2015 12 29  0345     1.00       0.67
2015 12 29  0000    2015 12 29  0100     1.33    2015 12 29  0400     1.00       1.67
2015 12 29  0015    2015 12 29  0114     1.00    2015 12 29  0414     1.00       1.67
2015 12 29  0030    2015 12 29  0130     1.00    2015 12 29  0430     1.00       1.67
2015 12 29  0045    2015 12 29  0145     1.00    2015 12 29  0445     1.00       1.67
2015 12 29  0100    2015 12 29  0159     1.00    2015 12 29  0459     1.00       1.67
2015 12 29  0115    2015 12 29  0215     1.00    2015 12 29  0515     1.00       1.67
2015 12 29  0130    2015 12 29  0230     1.00    2015 12 29  0530     1.00       1.67
2015 12 29  0145    2015 12 29  0244     1.33    2015 12 29  0544     1.33       1.67
2015 12 29  0200    2015 12 29  0300     1.33    2015 12 29  0600     1.33       1.67
2015 12 29  0215    2015 12 29  0315     1.33    2015 12 29  0615     1.33       1.67
2015 12 29  0230    2015 12 29  0329     1.33    2015 12 29  0629     1.00       1.67
2015 12 29  0245    2015 12 29  0345     2.67    2015 12 29  0645     2.33       1.67
2015 12 29  0300    2015 12 29  0400     2.33    2015 12 29  0700     1.67       0.33
2015 12 29  0315    2015 12 29  0414     2.00    2015 12 29  0714     1.67       0.33
2015 12 29  0330    2015 12 29  0430     2.00    2015 12 29  0730     1.67       0.33
2015 12 29  0345    2015 12 29  0445     1.67    2015 12 29  0745     1.33       0.33
2015 12 29  0400    2015 12 29  0459     1.67    2015 12 29  0759     1.67       0.33
2015 12 29  0415    2015 12 29  0515     1.67    2015 12 29  0815     1.67       0.33
2015 12 29  0430    2015 12 29  0530     1.67    2015 12 29  0830     1.67       0.33
2015 12 29  0445    2015 12 29  0544     1.67    2015 12 29  0844     1.67       0.33
2015 12 29  0500    2015 12 29  0600     1.67    2015 12 29  0900     1.67       0.33
2015 12 29  0515    2015 12 29  0615     1.67    2015 12 29  0915     1.33       0.33
2015 12 29  0530    2015 12 29  0629     1.67    2015 12 29  0929     1.33       0.33
2015 12 29  0545    2015 12 29  0645     0.67    2015 12 29  0945     0.67       0.33
2015 12 29  0600    2015 12 29  0700     1.00    2015 12 29  1000     1.00       0.33
2015 12 29  0615    2015 12 29  0714     1.00    2015 12 29  1014     1.00       0.33
2015 12 29  0630    2015 12 29  0730     1.33    2015 12 29  1030     1.00       0.33
2015 12 29  0645    2015 12 29  0745     0.67    2015 12 29  1045     0.67       0.33
2015 12 29  0700    2015 12 29  0759     1.00    2015 12 29  1059     0.67       0.33
2015 12 29  0715    2015 12 29  0815     1.00    2015 12 29  1115     0.67       0.33
2015 12 29  0730    2015 12 29  0830     1.00    2015 12 29  1130     0.67       0.33
2015 12 29  0745    2015 12 29  0844     0.67    2015 12 29  1144     0.33       0.33
2015 12 29  0800    2015 12 29  0900     0.67    2015 12 29  1200     0.67       0.33
2015 12 29  0815    2015 12 29  0915     0.67    2015 12 29  1215     0.67       0.33
2015 12 29  0830    2015 12 29  0929     0.67    2015 12 29  1229     0.67       0.33
2015 12 29  0845    2015 12 29  0945     1.33    2015 12 29  1245     1.00       0.33
2015 12 29  0900    2015 12 29  1000     1.33    2015 12 29  1300     0.67       0.00
2015 12 29  0915    2015 12 29  1014     1.33    2015 12 29  1314     0.67       0.00
2015 12 29  0930    2015 12 29  1030     1.00    2015 12 29  1330     0.67       0.00
2015 12 29  0945    2015 12 29  1045     1.00    2015 12 29  1345     0.67       0.00
2015 12 29  1000    2015 12 29  1059     1.00    2015 12 29  1359     0.67       0.00
2015 12 29  1015    2015 12 29  1115     1.00    2015 12 29  1415     1.00       0.00
2015 12 29  1030    2015 12 29  1130     1.00    2015 12 29  1430     1.00       0.00
2015 12 29  1045    2015 12 29  1144     0.67    2015 12 29  1444     0.33       0.00
2015 12 29  1100    2015 12 29  1200     0.67    2015 12 29  1500     0.67       0.00
2015 12 29  1115    2015 12 29  1215     0.67    2015 12 29  1515     0.67       0.00
2015 12 29  1130    2015 12 29  1229     1.00    2015 12 29  1529     0.33       0.00
2015 12 29  1145    2015 12 29  1245     0.33    2015 12 29  1545     0.00       0.00
2015 12 29  1200    2015 12 29  1300     0.67    2015 12 29  1600     0.33       1.33
2015 12 29  1215    2015 12 29  1314     0.67    2015 12 29  1614     0.33       1.33
2015 12 29  1230    2015 12 29  1330     0.67    2015 12 29  1630     0.33       1.33
2015 12 29  1245    2015 12 29  1345     0.67    2015 12 29  1645     0.33       1.33
2015 12 29  1300    2015 12 29  1359     0.67    2015 12 29  1659     0.67       1.33
2015 12 29  1315    2015 12 29  1415     0.67    2015 12 29  1715     0.67       1.33
2015 12 29  1330    2015 12 29  1430     0.67    2015 12 29  1730     0.33       1.33
2015 12 29  1345    2015 12 29  1444     0.67    2015 12 29  1744     0.67       1.33
2015 12 29  1400    2015 12 29  1500     1.00    2015 12 29  1800     0.67       1.33
2015 12 29  1415    2015 12 29  1515     1.00    2015 12 29  1815     0.67       1.33
2015 12 29  1430    2015 12 29  1529     1.00    2015 12 29  1829     0.67       1.33
2015 12 29  1445    2015 12 29  1545     2.33    2015 12 29  1845     2.00       1.33
2015 12 29  1500    2015 12 29  1600     2.00    2015 12 29  1900     1.33       1.67
2015 12 29  1515    2015 12 29  1614     1.67    2015 12 29  1914     1.00       1.67
2015 12 29  1530    2015 12 29  1630     1.33    2015 12 29  1930     1.00       1.67
2015 12 29  1545    2015 12 29  1645     1.67    2015 12 29  1945     1.00       1.67
2015 12 29  1600    2015 12 29  1659     1.67    2015 12 29  1959     1.00       1.67
2015 12 29  1615    2015 12 29  1715     1.33    2015 12 29  2015     1.00       1.67
2015 12 29  1630    2015 12 29  1730     1.33    2015 12 29  2030     1.00       1.67
2015 12 29  1645    2015 12 29  1744     1.33    2015 12 29  2044     1.00       1.67
2015 12 29  1700    2015 12 29  1800     1.33    2015 12 29  2100     1.00       1.67
2015 12 29  1715    2015 12 29  1815     1.33    2015 12 29  2115     1.00       1.67
2015 12 29  1730    2015 12 29  1829     1.33    2015 12 29  2129     1.00       1.67
2015 12 29  1745    2015 12 29  1845     1.00    2015 12 29  2145     0.67       1.67
2015 12 29  1800    2015 12 29  1900     1.00    2015 12 29  2200     0.67       1.33
2015 12 29  1815    2015 12 29  1914     1.33    2015 12 29  2214     1.00       1.33
2015 12 29  1830    2015 12 29  1930     1.33    2015 12 29  2230     1.00       1.33
2015 12 29  1845    2015 12 29  1945     1.67    2015 12 29  2245     1.33       1.33
2015 12 29  1900    2015 12 29  1959     1.67    2015 12 29  2259     1.33       1.33
2015 12 29  1915    2015 12 29  2015     1.67    2015 12 29  2315     1.33       1.33
2015 12 29  1930    2015 12 29  2030     1.67    2015 12 29  2330     1.33       1.33
2015 12 29  1945    2015 12 29  2044     2.00    2015 12 29  2344     1.67       1.33
2015 12 29  2000    2015 12 29  2100     2.00    2015 12 30  0000     1.67       1.33
2015 12 29  2015    2015 12 29  2115     2.00    2015 12 30  0015     1.33       1.33
2015 12 29  2030    2015 12 29  2129     1.67    2015 12 30  0029     1.33       1.33
2015 12 29  2045    2015 12 29  2145     1.67    2015 12 30  0045     1.33       1.33
2015 12 29  2100    2015 12 29  2200     1.67    2015 12 30  0100     1.33       1.67
2015 12 29  2115    2015 12 29  2214     1.67    2015 12 30  0114     1.33       1.67
2015 12 29  2130    2015 12 29  2230     1.67    2015 12 30  0130     1.33       1.67
2015 12 29  2145    2015 12 29  2245     2.33    2015 12 30  0145     2.00       1.67
2015 12 29  2200    2015 12 29  2259     2.33    2015 12 30  0159     2.00       1.67
2015 12 29  2215    2015 12 29  2315     2.00    2015 12 30  0215     2.00       1.67
2015 12 29  2230    2015 12 29  2330     2.00    2015 12 30  0230     2.00       1.67
2015 12 29  2245    2015 12 29  2344     1.00    2015 12 30  0244     1.00       1.67
2015 12 29  2300    2015 12 30  0000     1.33    2015 12 30  0300     1.33       1.67
2015 12 29  2315    2015 12 30  0015     1.33    2015 12 30  0315     1.00       1.67
2015 12 29  2330    2015 12 30  0029     1.33    2015 12 30  0329     1.00       1.67
2015 12 29  2345    2015 12 30  0045     1.33    2015 12 30  0345     1.00       1.67
2015 12 30  0000    2015 12 30  0100     1.33    2015 12 30  0400     1.00       0.00
2015 12 30  0015    2015 12 30  0114     1.33    2015 12 30  0414     1.00       0.00
2015 12 30  0030    2015 12 30  0130     1.33    2015 12 30  0430     1.00       0.00
2015 12 30  0045    2015 12 30  0145     1.00    2015 12 30  0445     0.33       0.00
2015 12 30  0100    2015 12 30  0159     1.00    2015 12 30  0459     0.67       0.00
2015 12 30  0115    2015 12 30  0215     1.00    2015 12 30  0515     0.67       0.00
2015 12 30  0130    2015 12 30  0230     1.00    2015 12 30  0530     0.67       0.00
2015 12 30  0145    2015 12 30  0244     2.00    2015 12 30  0544     1.33       0.00
2015 12 30  0200    2015 12 30  0300     2.00    2015 12 30  0600     1.00       0.00
2015 12 30  0215    2015 12 30  0315     1.67    2015 12 30  0615     1.00       0.00
2015 12 30  0230    2015 12 30  0329     1.67    2015 12 30  0629     0.67       0.00
2015 12 30  0245    2015 12 30  0345     1.33    2015 12 30  0645     0.67       0.00
2015 12 30  0300    2015 12 30  0400     1.33    2015 12 30  0700     0.67       0.00
2015 12 30  0315    2015 12 30  0414     1.33    2015 12 30  0714     0.67       0.00
2015 12 30  0330    2015 12 30  0430     1.33    2015 12 30  0730     0.67       0.00
2015 12 30  0345    2015 12 30  0445     0.33    2015 12 30  0745     0.00       0.00
2015 12 30  0400    2015 12 30  0459     0.67    2015 12 30  0759     0.00       0.00
2015 12 30  0415    2015 12 30  0515     0.67    2015 12 30  0815     0.00       0.00
2015 12 30  0430    2015 12 30  0530     0.67    2015 12 30  0830     0.00       0.00
2015 12 30  0445    2015 12 30  0544     0.00    2015 12 30  0844     0.00       0.00
2015 12 30  0500    2015 12 30  0600     0.00    2015 12 30  0900     0.00       0.00
2015 12 30  0515    2015 12 30  0615     0.00    2015 12 30  0915     0.00       0.00
2015 12 30  0530    2015 12 30  0629     0.00    2015 12 30  0929     0.00       0.00
2015 12 30  0545    2015 12 30  0645     0.33    2015 12 30  0945     0.00       0.00
2015 12 30  0600    2015 12 30  0700     0.33    2015 12 30  1000     0.00       0.00
2015 12 30  0615    2015 12 30  0714     0.33    2015 12 30  1014     0.00       0.00
2015 12 30  0630    2015 12 30  0730     0.33    2015 12 30  1030     0.00       0.00
2015 12 30  0645    2015 12 30  0745     0.33    2015 12 30  1045     0.00       0.00
2015 12 30  0700    2015 12 30  0759     0.33    2015 12 30  1059     0.00       0.00
2015 12 30  0715    2015 12 30  0815     0.67    2015 12 30  1115     0.00       0.00
2015 12 30  0730    2015 12 30  0830     0.33    2015 12 30  1130     0.00       0.00
2015 12 30  0745    2015 12 30  0844     0.33    2015 12 30  1144     0.00       0.00
2015 12 30  0800    2015 12 30  0900     0.67    2015 12 30  1200     0.00       0.00
2015 12 30  0815    2015 12 30  0915     0.67    2015 12 30  1215     0.00       0.00
2015 12 30  0830    2015 12 30  0929     0.33    2015 12 30  1229     0.00       0.00
2015 12 30  0845    2015 12 30  0945     0.33    2015 12 30  1245     0.00       0.00
2015 12 30  0900    2015 12 30  1000     0.33    2015 12 30  1300     0.00       0.33
2015 12 30  0915    2015 12 30  1014     0.33    2015 12 30  1314     0.00       0.33
2015 12 30  0930    2015 12 30  1030     0.33    2015 12 30  1330     0.00       0.33
2015 12 30  0945    2015 12 30  1045     0.33    2015 12 30  1345     0.00       0.33
2015 12 30  1000    2015 12 30  1059     0.33    2015 12 30  1359     0.00       0.33
2015 12 30  1015    2015 12 30  1115     0.33    2015 12 30  1415     0.00       0.33
2015 12 30  1030    2015 12 30  1130     0.33    2015 12 30  1430     0.00       0.33
2015 12 30  1045    2015 12 30  1144     0.33    2015 12 30  1444     0.00       0.33
2015 12 30  1100    2015 12 30  1200     0.33    2015 12 30  1500     0.00       0.33
2015 12 30  1115    2015 12 30  1215     0.33    2015 12 30  1515     0.00       0.33
2015 12 30  1130    2015 12 30  1229     0.33    2015 12 30  1529     0.00       0.33
2015 12 30  1145    2015 12 30  1245     1.33    2015 12 30  1545     0.33       0.33
2015 12 30  1200    2015 12 30  1300     1.00    2015 12 30  1600     0.00       1.67
2015 12 30  1215    2015 12 30  1314     1.00    2015 12 30  1614     0.00       1.67
2015 12 30  1230    2015 12 30  1330     1.00    2015 12 30  1630     0.00       1.67
2015 12 30  1245    2015 12 30  1345     1.00    2015 12 30  1645     0.33       1.67
2015 12 30  1300    2015 12 30  1359     1.00    2015 12 30  1659     0.33       1.67
2015 12 30  1315    2015 12 30  1415     1.00    2015 12 30  1715     0.67       1.67
2015 12 30  1330    2015 12 30  1430     1.00    2015 12 30  1730     0.67       1.67
2015 12 30  1345    2015 12 30  1444     0.67    2015 12 30  1744     0.33       1.67
2015 12 30  1400    2015 12 30  1500     0.67    2015 12 30  1800     0.67       1.67
2015 12 30  1415    2015 12 30  1515     1.00    2015 12 30  1815     0.67       1.67
2015 12 30  1430    2015 12 30  1529     1.00    2015 12 30  1829     0.67       1.67
2015 12 30  1445    2015 12 30  1545     0.67    2015 12 30  1845     0.33       1.67
2015 12 30  1500    2015 12 30  1600     0.67    2015 12 30  1900     0.33       0.00
2015 12 30  1515    2015 12 30  1614     0.67    2015 12 30  1914     0.67       0.00
2015 12 30  1530    2015 12 30  1630     0.67    2015 12 30  1930     0.33       0.00
2015 12 30  1545    2015 12 30  1645     2.00    2015 12 30  1945     1.33       0.00
2015 12 30  1600    2015 12 30  1659     1.67    2015 12 30  1959     0.67       0.00
2015 12 30  1615    2015 12 30  1715     1.33    2015 12 30  2015     0.33       0.00
2015 12 30  1630    2015 12 30  1730     1.00    2015 12 30  2030     0.33       0.00
2015 12 30  1645    2015 12 30  1744     2.33    2015 12 30  2044     1.00       0.00
2015 12 30  1700    2015 12 30  1800     2.00    2015 12 30  2100     1.00       0.00
2015 12 30  1715    2015 12 30  1815     1.67    2015 12 30  2115     0.67       0.00
2015 12 30  1730    2015 12 30  1829     1.67    2015 12 30  2129     0.67       0.00
2015 12 30  1745    2015 12 30  1845     0.33    2015 12 30  2145     0.00       0.00
2015 12 30  1800    2015 12 30  1900     0.33    2015 12 30  2200     0.00       0.00
2015 12 30  1815    2015 12 30  1914     0.33    2015 12 30  2214     0.00       0.00
2015 12 30  1830    2015 12 30  1930     0.67    2015 12 30  2230     0.00       0.00
2015 12 30  1845    2015 12 30  1945     0.33    2015 12 30  2245     0.00       0.00
2015 12 30  1900    2015 12 30  1959     0.33    2015 12 30  2259     0.00       0.00
2015 12 30  1915    2015 12 30  2015     0.33    2015 12 30  2315     0.00       0.00
2015 12 30  1930    2015 12 30  2030     0.33    2015 12 30  2330     0.00       0.00
2015 12 30  1945    2015 12 30  2044     0.33    2015 12 30  2344     0.00       0.00
2015 12 30  2000    2015 12 30  2100     0.67    2015 12 31  0000     0.00       0.00
2015 12 30  2015    2015 12 30  2115     0.67    2015 12 31  0015     0.00       0.00
2015 12 30  2030    2015 12 30  2129     0.67    2015 12 31  0029     0.00       0.00
2015 12 30  2045    2015 12 30  2145     1.00    2015 12 31  0045     0.33       0.00
2015 12 30  2100    2015 12 30  2200     1.00    2015 12 31  0100     0.00       1.00
2015 12 30  2115    2015 12 30  2214     0.67    2015 12 31  0114     0.00       1.00
2015 12 30  2130    2015 12 30  2230     0.67    2015 12 31  0130     0.00       1.00
2015 12 30  2145    2015 12 30  2245     0.33    2015 12 31  0145     0.00       1.00
2015 12 30  2200    2015 12 30  2259     0.33    2015 12 31  0159     0.00       1.00
2015 12 30  2215    2015 12 30  2315     0.33    2015 12 31  0215     0.00       1.00
2015 12 30  2230    2015 12 30  2330     0.33    2015 12 31  0230     0.00       1.00
2015 12 30  2245    2015 12 30  2344     0.67    2015 12 31  0244     0.00       1.00
2015 12 30  2300    2015 12 31  0000     0.67    2015 12 31  0300     0.00       1.00
2015 12 30  2315    2015 12 31  0015     0.67    2015 12 31  0315     0.00       1.00
2015 12 30  2330    2015 12 31  0029     0.67    2015 12 31  0329     0.00       1.00
2015 12 30  2345    2015 12 31  0045     0.33    2015 12 31  0345     0.00       1.00
2015 12 31  0000    2015 12 31  0100     0.33    2015 12 31  0400     0.00       3.00
2015 12 31  0015    2015 12 31  0114     0.33    2015 12 31  0414     0.00       3.00
2015 12 31  0030    2015 12 31  0130     0.33    2015 12 31  0430     0.00       3.00
2015 12 31  0045    2015 12 31  0145     1.33    2015 12 31  0445     0.67       3.00
2015 12 31  0100    2015 12 31  0159     1.33    2015 12 31  0459     0.33       3.00
2015 12 31  0115    2015 12 31  0215     1.00    2015 12 31  0515     0.33       3.00
2015 12 31  0130    2015 12 31  0230     0.67    2015 12 31  0530     0.33       3.00
2015 12 31  0145    2015 12 31  0244     1.00    2015 12 31  0544     0.67       3.00
2015 12 31  0200    2015 12 31  0300     1.00    2015 12 31  0600     1.00       3.00
2015 12 31  0215    2015 12 31  0315     1.00    2015 12 31  0615     1.33       3.00
2015 12 31  0230    2015 12 31  0329     1.33    2015 12 31  0629     1.67       3.00
2015 12 31  0245    2015 12 31  0345     5.00    2015 12 31  0645     5.00       3.00
2015 12 31  0300    2015 12 31  0400     4.00    2015 12 31  0700     4.33       3.00
2015 12 31  0315    2015 12 31  0414     4.00    2015 12 31  0714     3.67       3.00
2015 12 31  0330    2015 12 31  0430     3.67    2015 12 31  0730     4.00       3.00
2015 12 31  0345    2015 12 31  0445     3.33    2015 12 31  0745     3.67       3.00
2015 12 31  0400    2015 12 31  0459     3.33    2015 12 31  0759     3.67       3.00
2015 12 31  0415    2015 12 31  0515     3.33    2015 12 31  0815     3.67       3.00
2015 12 31  0430    2015 12 31  0530     3.00    2015 12 31  0830     3.33       3.00
2015 12 31  0445    2015 12 31  0544     2.00    2015 12 31  0844     2.33       3.00
2015 12 31  0500    2015 12 31  0600     2.33    2015 12 31  0900     2.33       3.00
2015 12 31  0515    2015 12 31  0615     2.67    2015 12 31  0915     2.67       3.00
2015 12 31  0530    2015 12 31  0629     2.67    2015 12 31  0929     2.67       3.00
2015 12 31  0545    2015 12 31  0645     1.67    2015 12 31  0945     2.33       3.00
2015 12 31  0600    2015 12 31  0700     2.00    2015 12 31  1000     2.67       3.67
2015 12 31  0615    2015 12 31  0714     2.33    2015 12 31  1014     3.00       3.67
2015 12 31  0630    2015 12 31  0730     2.67    2015 12 31  1030     3.67       3.67
2015 12 31  0645    2015 12 31  0745     2.33    2015 12 31  1045     3.00       3.67
2015 12 31  0700    2015 12 31  0759     2.33    2015 12 31  1059     2.67       3.67
2015 12 31  0715    2015 12 31  0815     2.33    2015 12 31  1115     2.67       3.67
2015 12 31  0730    2015 12 31  0830     2.33    2015 12 31  1130     2.67       3.67
2015 12 31  0745    2015 12 31  0844     3.67    2015 12 31  1144     4.00       3.67
2015 12 31  0800    2015 12 31  0900     3.67    2015 12 31  1200     4.00       3.67
2015 12 31  0815    2015 12 31  0915     3.67    2015 12 31  1215     4.67       3.67
2015 12 31  0830    2015 12 31  0929     3.67    2015 12 31  1229     4.67       3.67
2015 12 31  0845    2015 12 31  0945     3.33    2015 12 31  1245     4.67       3.67
2015 12 31  0900    2015 12 31  1000     3.33    2015 12 31  1300     5.00       4.00
2015 12 31  0915    2015 12 31  1014     3.67    2015 12 31  1314     5.00       4.00
2015 12 31  0930    2015 12 31  1030     4.00    2015 12 31  1330     5.33       4.00
2015 12 31  0945    2015 12 31  1045     3.33    2015 12 31  1345     5.00       4.00
2015 12 31  1000    2015 12 31  1059     3.33    2015 12 31  1359     4.67       4.00
2015 12 31  1015    2015 12 31  1115     3.33    2015 12 31  1415     4.67       4.00
2015 12 31  1030    2015 12 31  1130     3.00    2015 12 31  1430     4.00       4.00
2015 12 31  1045    2015 12 31  1144     4.67    2015 12 31  1444     5.00       4.00
2015 12 31  1100    2015 12 31  1200     4.33    2015 12 31  1500     5.00       4.00
2015 12 31  1115    2015 12 31  1215     4.33    2015 12 31  1515     5.33       4.00
2015 12 31  1130    2015 12 31  1229     4.33    2015 12 31  1529     5.67       4.00
2015 12 31  1145    2015 12 31  1245     5.00    2015 12 31  1545     6.67       4.00
2015 12 31  1200    2015 12 31  1300     4.67    2015 12 31  1600     7.00       6.67
2015 12 31  1215    2015 12 31  1314     4.67    2015 12 31  1614     7.00       6.67
2015 12 31  1230    2015 12 31  1330     5.00    2015 12 31  1630     7.00       6.67
2015 12 31  1245    2015 12 31  1345     5.00    2015 12 31  1645     7.00       6.67
