:Data_list: ace_swepam_1m.txt
:Created: 2016 Jan 21 0034 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 01 20  2257   57407   82620    0       16.9      363.3     7.07e+04
2016 01 20  2258   57407   82680    0       22.0      354.5     4.16e+04
2016 01 20  2259   57407   82740    0       12.8      370.4     1.39e+05
2016 01 20  2300   57407   82800    0       15.7      366.9     1.02e+05
2016 01 20  2301   57407   82860    0       14.9      366.5     8.13e+04
2016 01 20  2302   57407   82920    0       17.3      375.1     1.09e+05
2016 01 20  2303   57407   82980    0       18.9      358.6     3.59e+04
2016 01 20  2304   57407   83040    1       19.8      375.2     1.56e+05
2016 01 20  2305   57407   83100    0       14.0      371.9     1.38e+05
2016 01 20  2306   57407   83160    1       10.9      352.3     6.08e+04
2016 01 20  2307   57407   83220    0        9.6      354.3     9.96e+04
2016 01 20  2308   57407   83280    1        8.6      356.7     1.46e+05
2016 01 20  2309   57407   83340    1        7.7      353.3     1.11e+05
2016 01 20  2310   57407   83400    0        9.7      347.7     4.94e+04
2016 01 20  2311   57407   83460    0       10.7      352.5     7.87e+04
2016 01 20  2312   57407   83520    1        8.5      366.3     1.51e+05
2016 01 20  2313   57407   83580    0       12.1      365.1     1.16e+05
2016 01 20  2314   57407   83640    0       18.3      369.1     9.15e+04
2016 01 20  2315   57407   83700    0       25.1      355.4     3.65e+04
2016 01 20  2316   57407   83760    0       16.1      379.2     1.71e+05
2016 01 20  2317   57407   83820    0       13.6      364.3     7.78e+04
2016 01 20  2318   57407   83880    0       13.6    -9999.9    -1.00e+05
2016 01 20  2319   57407   83940    1       13.8      365.5     7.94e+04
2016 01 20  2320   57407   84000    0       17.6      373.5     7.87e+04
2016 01 20  2321   57407   84060    1       17.3      385.1     1.46e+05
2016 01 20  2322   57407   84120    1       20.2      385.9     1.45e+05
2016 01 20  2323   57407   84180    0       17.7      368.2     7.30e+04
2016 01 20  2324   57407   84240    1       16.3      371.3     1.02e+05
2016 01 20  2325   57407   84300    1       15.1      370.1     9.66e+04
2016 01 20  2326   57407   84360    0       14.1      366.8     8.42e+04
2016 01 20  2327   57407   84420    0       15.7      374.7     1.23e+05
2016 01 20  2328   57407   84480    0       19.2      367.1     8.53e+04
2016 01 20  2329   57407   84540    0       21.4      355.4     5.12e+04
2016 01 20  2330   57407   84600    1       14.1      373.1     1.38e+05
2016 01 20  2331   57407   84660    0       16.3      370.3     1.08e+05
2016 01 20  2332   57407   84720    0       14.9      364.1     8.48e+04
2016 01 20  2333   57407   84780    0       15.3      363.1     7.95e+04
2016 01 20  2334   57407   84840    0       18.1      364.5     5.57e+04
2016 01 20  2335   57407   84900    0       17.8      376.6     1.24e+05
2016 01 20  2336   57407   84960    0       20.4      379.9     1.19e+05
2016 01 20  2337   57407   85020    0       22.7      361.8     4.49e+04
2016 01 20  2338   57407   85080    1       18.0      371.5     1.00e+05
2016 01 20  2339   57407   85140    1       18.1      378.6     1.25e+05
2016 01 20  2340   57407   85200    0       18.1      376.4     1.03e+05
2016 01 20  2341   57407   85260    0       17.5      381.4     1.15e+05
2016 01 20  2342   57407   85320    1       14.6      374.0     9.47e+04
2016 01 20  2343   57407   85380    1       10.3      353.9     3.47e+04
2016 01 20  2344   57407   85440    1       13.3      359.5     5.14e+04
2016 01 20  2345   57407   85500    0       21.4      375.8     8.72e+04
2016 01 20  2346   57407   85560    0       22.4      362.0     3.98e+04
2016 01 20  2347   57407   85620    0       17.6      375.9     1.22e+05
2016 01 20  2348   57407   85680    0       18.4      372.7     9.86e+04
2016 01 20  2349   57407   85740    0       19.1      378.2     1.10e+05
2016 01 20  2350   57407   85800    0       21.8      380.7     1.08e+05
2016 01 20  2351   57407   85860    0       21.8      380.8     1.08e+05
2016 01 20  2352   57407   85920    0       15.4      363.2     5.66e+04
2016 01 20  2353   57407   85980    0       20.4      379.2     1.11e+05
2016 01 20  2354   57407   86040    0       15.8      363.9     6.25e+04
2016 01 20  2355   57407   86100    0       17.4      369.9     9.46e+04
2016 01 20  2356   57407   86160    0       19.3      371.3     9.99e+04
2016 01 20  2357   57407   86220    0       17.8      372.9     9.37e+04
2016 01 20  2358   57407   86280    0       15.7      376.4     9.95e+04
2016 01 20  2359   57407   86340    0       14.2      366.7     6.76e+04
2016 01 21  0000   57408       0    0       13.7      361.7     5.08e+04
2016 01 21  0001   57408      60    0       14.4      377.2     1.06e+05
2016 01 21  0002   57408     120    0       17.8      373.4     1.02e+05
2016 01 21  0003   57408     180    1       25.7      361.7     5.92e+04
2016 01 21  0004   57408     240    1        6.0      398.7     2.28e+05
2016 01 21  0005   57408     300    0        6.7      372.5     8.54e+04
2016 01 21  0006   57408     360    0        6.2      388.1     1.77e+05
2016 01 21  0007   57408     420    0        7.4      384.4     1.52e+05
2016 01 21  0008   57408     480    0       10.3      365.6     6.04e+04
2016 01 21  0009   57408     540    0        9.0      391.4     1.58e+05
2016 01 21  0010   57408     600    0        7.5      383.3     1.37e+05
2016 01 21  0011   57408     660    0        8.1      376.1     1.11e+05
2016 01 21  0012   57408     720    1        7.6      388.7     1.50e+05
2016 01 21  0013   57408     780    1        5.8      382.8     1.31e+05
2016 01 21  0014   57408     840    0        5.5      379.0     1.25e+05
2016 01 21  0015   57408     900    1        7.4      391.8     1.77e+05
2016 01 21  0016   57408     960    1        8.6      389.3     1.64e+05
2016 01 21  0017   57408    1020    0        8.4      386.0     1.48e+05
2016 01 21  0018   57408    1080    0        9.0      390.3     1.93e+05
2016 01 21  0019   57408    1140    0        8.9      380.0     1.22e+05
2016 01 21  0020   57408    1200    1        9.4      387.0     1.58e+05
2016 01 21  0021   57408    1260    0       10.0      393.2     1.50e+05
2016 01 21  0022   57408    1320    0        6.9      370.5     6.27e+04
2016 01 21  0023   57408    1380    1        9.8      396.3     2.10e+05
2016 01 21  0024   57408    1440    1       10.1      398.7     2.23e+05
2016 01 21  0025   57408    1500    0        8.2      376.9     9.15e+04
2016 01 21  0026   57408    1560    0        9.3      387.8     1.48e+05
2016 01 21  0027   57408    1620    0        9.5      385.8     1.28e+05
2016 01 21  0028   57408    1680    1        9.7      383.4     1.07e+05
2016 01 21  0029   57408    1740    1       10.9      390.5     1.54e+05
2016 01 21  0030   57408    1800    1       11.3      384.5     1.35e+05
2016 01 21  0031   57408    1860    0       10.4      379.5     1.18e+05
2016 01 21  0032   57408    1920    1       10.0      391.8     1.83e+05
